num_item_id,word_code,word1,word2,WordBank1,WordBank2,category,class,classForm,classEH,classRS,classEHse,classVerbs,CDI_Metadata_compatible
110,mcs_vc5_23fish,fish,fish,fish,fish_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,fish (food)
111,mcs_vc5_24food,food,food,food,food,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,food
112,mcs_vc5_25frenchfries,frenchfries,frenchfries,frenchfries,frenchfries,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,french fries
113,mcs_vc5_26grapes,grapes,grapes,grapes,grapes,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,grapes
114,mcs_vc5_27greenbeans,greenbeans,greenbeans,greenbeans,greenbeans,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,green beans
115,mcs_vc5_28gum,gum,gum,gum,gum,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,gum
116,mcs_vc5_29hamburger,hamburger,hamburger,hamburger,hamburger,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,hamburger
117,mcs_vc5_30ice,ice,ice,ice,ice,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,ice
118,mcs_vc5_31icecream,icecream,icecream,icecream,icecream,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,ice cream
119,mcs_vc5_32jello,jello,jello,jello,jello,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,jello
120,mcs_vc5_33jelly,jelly,jelly,jelly,jelly,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,jelly
121,mcs_vc5_34juice,juice,juice,juice,juice,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,juice
122,mcs_vc5_35lollipop,lollipop,lollipop,lollipop,lollipop,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,lollipop
123,mcs_vc5_36meat,meat,meat,meat,meat,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,meat
124,mcs_vc5_37melon,melon,melon,melon,melon,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,melon
125,mcs_vc5_38milk,milk,milk,milk,milk,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,milk
126,mcs_vc5_39muffin,muffin,muffin,muffin,muffin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,muffin
127,mcs_vc5_40noodles,noodles,noodles,noodles,noodles,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,noodles
128,mcs_vc5_41nuts,nuts,nuts,nuts,nuts,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,nuts
129,mcs_vc5_42orange,orange,orange,orange,orange_foo,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,orange (food)
130,mcs_vc5_43pancake,pancake,pancake,pancake,pancake,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pancake
131,mcs_vc5_44peanutbutter,peanutbutter,peanutbutter,peanutbutter,peanutbutter,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,peanut butter
132,mcs_vc5_45peas,peas,peas,peas,peas,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,peas
133,mcs_vc5_46pickle,pickle,pickle,pickle,pickle,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pickle
134,mcs_vc5_47pizza,pizza,pizza,pizza,pizza,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pizza
135,mcs_vc5_48popcorn,popcorn,popcorn,popcorn,popcorn,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,popcorn
136,mcs_vc5_49popsicle,popsicle,popsicle,popsicle,popsicle,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,popsicle
137,mcs_vc5_50potato,potato,potato,potato,potato,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,potato
138,mcs_vc5_51potatochip,potatochip,potatochip,potatochip,potatochip,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,potato chip
139,mcs_vc5_52pretzel,pretzel,pretzel,pretzel,pretzel,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pretzel
140,mcs_vc5_53pudding,pudding,pudding,pudding,pudding,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pudding
141,mcs_vc5_54pumpkin,pumpkin,pumpkin,pumpkin,pumpkin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,pumpkin
142,mcs_vc5_55raisin,raisin,raisin,raisin,raisin,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,raisin
143,mcs_vc5_56salt,salt,salt,salt,salt,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,salt
144,mcs_vc5_57sandwich,sandwich,sandwich,sandwich,sandwich,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,sandwich
145,mcs_vc5_58sauce,sauce,sauce,sauce,sauce,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,sauce
146,mcs_vc5_59sodapop,soda/pop,soda/pop,soda/pop,soda/pop,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,soda/pop
147,mcs_vc5_60soup,soup,soup,soup,soup,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,soup
148,mcs_vc5_61spaghetti,spaghetti,spaghetti,spaghetti,spaghetti,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,spaghetti
149,mcs_vc5_62strawberry,strawberry,strawberry,strawberry,strawberry,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,strawberry
150,mcs_vc5_63toast,toast,toast,toast,toast,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,toast
151,mcs_vc5_64tuna,tuna,tuna,tuna,tuna,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,tuna
152,mcs_vc5_65vanilla,vanilla,vanilla,vanilla,vanilla,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,vanilla
153,mcs_vc5_66vitamins,vitamins,vitamins,vitamins,vitamins,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,vitamins
154,mcs_vc5_67water,water,water,water,water_bev,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,water (beverage)
155,mcs_vc5_68yogurt,yogurt,yogurt,yogurt,yogurt,food_drink,Noun,Noun,Noun,Noun,Noun,Noun,yogurt
156,mcs_vc6_1beads,beads,beads,beads,beads,clothing,Noun,Noun,Noun,Noun,Noun,Noun,beads
157,mcs_vc6_2belt,belt,belt,belt,belt,clothing,Noun,Noun,Noun,Noun,Noun,Noun,belt
158,mcs_vc6_3bib,bib,bib,bib,bib,clothing,Noun,Noun,Noun,Noun,Noun,Noun,bib
159,mcs_vc6_4boots,boots,boots,boots,boots,clothing,Noun,Noun,Noun,Noun,Noun,Noun,boots
160,mcs_vc6_5button,button,button,button,button,clothing,Noun,Noun,Noun,Noun,Noun,Noun,button
161,mcs_vc6_6coat,coat,coat,coat,coat,clothing,Noun,Noun,Noun,Noun,Noun,Noun,coat
162,mcs_vc6_7diaper,diaper,diaper,diaper,diaper,clothing,Noun,Noun,Noun,Noun,Noun,Noun,diaper
163,mcs_vc6_8dress,dress,dress,dress,dress_obj,clothing,Noun,Noun,Noun,Noun,Noun,Noun,dress (object)
164,mcs_vc6_9gloves,gloves,gloves,gloves,gloves,clothing,Noun,Noun,Noun,Noun,Noun,Noun,gloves
165,mcs_vc6_10hat,hat,hat,hat,hat,clothing,Noun,Noun,Noun,Noun,Noun,Noun,hat
166,mcs_vc6_11jacket,jacket,jacket,jacket,jacket,clothing,Noun,Noun,Noun,Noun,Noun,Noun,jacket
167,mcs_vc6_12jeans,jeans,jeans,jeans,jeans,clothing,Noun,Noun,Noun,Noun,Noun,Noun,jeans
168,mcs_vc6_13mittens,mittens,mittens,mittens,mittens,clothing,Noun,Noun,Noun,Noun,Noun,Noun,mittens
169,mcs_vc6_14necklace,necklace,necklace,necklace,necklace,clothing,Noun,Noun,Noun,Noun,Noun,Noun,necklace
170,mcs_vc6_15pajamas,pajamas,pajamas,pajamas,pajamas,clothing,Noun,Noun,Noun,Noun,Noun,Noun,pajamas
171,mcs_vc6_16pants,pants,pants,pants,pants,clothing,Noun,Noun,Noun,Noun,Noun,Noun,pants
172,mcs_vc6_17scarf,scarf,scarf,scarf,scarf,clothing,Noun,Noun,Noun,Noun,Noun,Noun,scarf
173,mcs_vc6_18shirt,shirt,shirt,shirt,shirt,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shirt
174,mcs_vc6_19shoe,shoe,shoe,shoe,shoe,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shoe
175,mcs_vc6_20shorts,shorts,shorts,shorts,shorts,clothing,Noun,Noun,Noun,Noun,Noun,Noun,shorts
