num_item_id,word,replacement_word,replacement_word2,word_WordBank1,word_WordBank2,category,WG_class,class,classEH,RescorlaSafyer_Class,classEHse,classVerbs,CDI_Metadata_compatible
249,mcg_vc9_soap,soap,soap,soap,soap,household,Noun,Noun,Noun,Noun,Noun,Noun,soap
250,mcg_vc9_spn,spoon,spoon,spoon,spoon,household,Noun,Noun,Noun,Noun,Noun,Noun,spoon
252,mcg_vc9_tphn,telephone,telephone,telephone,telephone,household,Noun,Noun,Noun,Noun,Noun,Noun,telephone
254,mcg_vc9_tbrsh,toothbrush,toothbrush,toothbrush,toothbrush,household,Noun,Noun,Noun,Noun,Noun,Noun,toothbrush
255,mcg_vc9_twl,towel,towel,towel,towel,household,Noun,Noun,Noun,Noun,Noun,Noun,towel
256,mcg_vc9_trsh,trash,trash,trash,trash,household,Noun,Noun,Noun,Noun,Noun,Noun,trash
258,mcg_vc9_vccm,vacuum,vacuum,vacuum,vacuum,household,Noun,Noun,Noun,Noun,Noun,Noun,vacuum
260,mcg_vc9_watch,watch,watch,watch (object),watch_obj,household,Noun,Noun,Noun,Noun,Noun,Noun,watch (object)
294,mcg_vc10_bkyr,backyard,backyard,backyard,backyard,outside,NA,NA,Noun,Noun,Noun,NA,backyard
325,mcg_vc10_beach,beach,beach,beach,beach,outside,NA,NA,Noun,Noun,Noun,NA,beach
327,mcg_vc10_church,church,church,church*,church,outside,NA,NA,Noun,Noun,Noun,NA,church*
297,mcg_vc10_flwr,flower,flower,flower,flower,outside,NA,NA,Noun,Noun,Noun,NA,flower
298,mcg_vc10_grdn,garden,garden,garden,garden,outside,NA,NA,Noun,Noun,Noun,NA,garden
333,mcg_vc10_home,home,home,home,home,outside,NA,NA,Noun,Noun,Noun,NA,home
334,mcg_vc10_house,house,house,house,house,outside,NA,NA,Noun,Noun,Noun,NA,house
303,mcg_vc10_moon,moon,moon,moon,moon,outside,NA,NA,Noun,Noun,Noun,NA,moon
336,mcg_vc10_outsd,outside,outside,outside,outside,outside,NA,NA,Noun,Noun,Noun,NA,outside
337,mcg_vc10_park,park,park,park,park,outside,NA,NA,Noun,Noun,Noun,NA,park
338,mcg_vc10_party,party,party,party,party,outside,NA,NA,Noun,Noun,Noun,NA,party
304,mcg_vc10_pool,pool,pool,pool,pool,outside,NA,NA,Noun,Noun,Noun,NA,pool
305,mcg_vc10_rain,rain,rain,rain,rain,outside,NA,NA,Noun,Noun,Noun,NA,rain
306,mcg_vc10_rock,rock,rock,rock,rock,outside,NA,NA,Noun,Noun,Noun,NA,rock
341,mcg_vc10_schl,school,school,school,school,outside,NA,NA,Noun,Noun,Noun,NA,school
309,mcg_vc10_shvl,shovel,shovel,shovel,shovel,outside,NA,NA,Noun,Noun,Noun,NA,shovel
311,mcg_vc10_sky,sky,sky,sky,sky,outside,NA,NA,Noun,Noun,Noun,NA,sky
312,mcg_vc10_slide,slide,slide,slide (object),slide_obj,outside,NA,NA,Noun,Noun,Noun,NA,slide (object)
313,mcg_vc10_snow,snow,snow,snow,snow,outside,NA,NA,Noun,Noun,Noun,NA,snow
316,mcg_vc10_star,star,star,star,star,outside,NA,NA,Noun,Noun,Noun,NA,star
342,mcg_vc10_store,store,store,store,store,outside,NA,NA,Noun,Noun,Noun,NA,store
320,mcg_vc10_sun,sun,sun,sun,sun,outside,NA,NA,Noun,Noun,Noun,NA,sun
321,mcg_vc10_swing,swing,swing,swing (object),swing_obj,outside,NA,NA,Noun,Noun,Noun,NA,swing (object)
322,mcg_vc10_tree,tree,tree,tree,tree,outside,NA,NA,Noun,Noun,Noun,NA,tree
323,mcg_vc10_water,water,water,water (not beverage),water_notbev,outside,NA,NA,Noun,Noun,Noun,NA,water (not beverage)
344,mcg_vc10_work,work,work,work (place),work_pla,outside,NA,NA,Noun,Noun,Noun,NA,work (place)
346,mcg_vc10_zoo,zoo,zoo,zoo,zoo,outside,NA,NA,Noun,Noun,Noun,NA,zoo
347,mcg_vc11_aunt,aunt,aunt,aunt,aunt,people,NA,NA,Noun,people,people,NA,aunt
348,mcg_vc11_baby,baby,baby,baby,baby,people,NA,NA,Noun,people,people,NA,baby
349,mcg_vc11_bbys,babysitter,babysitter,babysitter,babysitter,people,NA,NA,Noun,people,people,NA,babysitter
350,mcg_vc11_bsnm,babysitter'sname,babysitter'sname,babysitter's name,babysitter'sname,people,NA,NA,Noun,people,people,NA,babysitter's name
351,mcg_vc11_boy,boy,boy,boy,boy,people,NA,NA,Noun,people,people,NA,boy
352,mcg_vc11_brthr,brother,brother,brother,brother,people,NA,NA,Noun,people,people,NA,brother
353,mcg_vc11_child,child,child,child,child,people,NA,NA,Noun,people,people,NA,child
356,mcg_vc11_dad,daddy,daddy,daddy*,daddy,people,NA,NA,Noun,people,people,NA,daddy*
360,mcg_vc11_girl,girl,girl,girl,girl,people,NA,NA,Noun,people,people,NA,girl
361,mcg_vc11_gma,grandma,grandma,grandma*,grandma,people,NA,NA,Noun,people,people,NA,grandma*
